Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,6790.1428,32.2764,32.1755,0.1009,2.2100,32.6863,2.7196,29.9667,64.7341,33.3347,1.1195,6790.1428,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,6822.4192,44.9804,44.9223,0.0581,2.6242,44.7779,2.5936,42.1843,65.7924,33.2521,-1.0583,6822.4192,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,6867.3996,31.2542,31.1828,0.0714,2.4268,31.1388,2.5943,28.5445,54.0641,50.0413,11.7283,6867.3996,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,6898.6538,47.0438,46.9601,0.0837,2.3160,47.2068,2.6069,44.5999,72.8512,33.4255,-18.7871,6898.6538,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,6945.6976,31.1658,31.0699,0.0959,2.4831,31.1208,2.6040,28.5168,59.2329,16.6654,13.6183,6945.6976,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,6976.8634,16.7948,16.7393,0.0555,2.4426,16.7485,2.6274,14.1211,44.7325,66.5432,14.5004,6976.8634,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,6993.6582,67.8223,67.4922,0.3301,2.4213,67.2329,2.5655,64.6674,94.4809,50.0217,-49.7484,6993.6582,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7061.4805,48.9969,48.9089,0.0880,1.8418,49.6075,2.5397,47.0678,76.6803,33.3303,17.8006,7061.4805,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7110.4774,37.4291,37.3471,0.0820,2.4624,37.4126,2.5926,34.8200,61.0137,49.9768,15.6666,7110.4774,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7147.9065,45.7840,45.7305,0.0535,2.4503,45.7464,2.5930,43.1534,73.5614,33.3270,-12.5477,7147.9065,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7193.6905,31.5956,31.5235,0.0721,2.4175,31.5402,2.6044,28.9358,61.1044,33.4006,12.4570,7193.6905,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7225.2861,31.9111,31.8542,0.0569,2.3667,31.8967,2.5915,29.3052,62.9094,33.3342,-1.8050,7225.2861,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7257.1972,45.0875,45.0194,0.0681,2.3569,45.2745,2.4598,42.8147,64.3325,16.6647,-1.4231,7257.1972,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7302.2847,11.5951,11.5017,0.0934,2.5485,11.6257,2.6147,9.0110,35.9097,33.3318,28.4228,7302.2847,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7313.8798,36.4523,36.3477,0.1046,2.5835,36.3559,2.5723,33.7836,57.6464,66.6410,-21.7367,7313.8798,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7350.3321,63.6359,63.4975,0.1384,2.4916,63.4896,2.5447,60.9449,87.8351,49.9385,-30.1887,7350.3321,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7413.9680,47.8805,47.8005,0.0800,2.3528,47.9431,2.4822,45.4609,74.1377,50.0815,13.6974,7413.9680,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7461.8485,41.6686,41.5663,0.1023,2.4229,41.6592,2.5186,39.1406,76.3387,33.3192,-2.2010,7461.8485,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7503.5171,46.6249,46.5365,0.0884,2.4180,46.6084,2.5757,44.0327,67.9893,33.3437,8.3494,7503.5171,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7550.1420,30.9881,30.8866,0.1015,2.4061,31.0501,2.5597,28.4904,54.7081,50.0130,13.2812,7550.1420,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7581.1301,46.7482,46.6462,0.1020,2.4726,46.7594,2.5928,44.1666,73.7330,49.9287,-19.0249,7581.1301,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7627.8783,44.8415,44.7492,0.0923,2.4884,44.9352,2.6569,42.2783,76.9135,33.3920,-3.1805,7627.8783,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7672.7198,33.1420,33.0236,0.1184,2.5867,33.0056,2.5570,30.4486,65.4640,33.3224,11.4495,7672.7198,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7705.8618,31.2746,31.1960,0.0786,2.4541,31.4022,2.5859,28.8163,65.6444,16.5911,-0.1804,7705.8618,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7737.1364,16.8390,16.7743,0.0647,2.5859,18.2623,3.8963,14.3660,50.9609,33.3275,14.6835,7737.1364,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7753.9754,43.5018,43.4436,0.0582,4.0135,42.1268,2.5719,39.5549,67.4494,33.4126,-16.4885,7753.9754,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7797.4772,32.9996,32.9151,0.0845,2.6432,32.4558,2.3202,30.1356,57.3602,49.9107,10.0892,7797.4772,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7830.4768,43.4320,43.3615,0.0705,2.1037,43.4457,2.3165,41.1292,74.2713,33.4247,-16.9111,7830.4768,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7873.9088,40.3606,40.3079,0.0527,2.1221,40.4058,2.3186,38.0872,64.2640,33.3252,10.0073,7873.9088,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7914.2694,38.4618,38.4029,0.0589,2.1720,38.4038,2.2629,36.1409,57.2286,16.5945,7.0354,7914.2694,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7952.7312,16.0197,15.9395,0.0802,2.1181,15.9978,2.2936,13.7042,35.3613,33.4041,21.8673,7952.7312,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7968.7509,28.5439,28.4623,0.0816,2.1010,28.5415,2.2961,26.2454,52.7457,33.2261,-17.3844,7968.7509,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,7997.2948,36.0499,35.9916,0.0583,2.1026,36.3248,2.5466,33.7782,57.4279,33.3621,-4.6822,7997.2948,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8033.3447,27.4746,27.4184,0.0562,2.3812,27.5038,2.5843,24.9195,54.7401,33.3252,2.6878,8033.3447,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8060.8193,32.8126,32.7559,0.0567,2.4148,32.7673,2.5682,30.1991,60.5907,16.7505,-5.8506,8060.8193,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8093.6319,21.8789,21.8200,0.0589,2.3741,21.8112,2.5119,19.2993,44.5286,49.9248,16.0621,8093.6319,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8115.5108,40.5676,40.5119,0.0557,2.3369,40.6138,2.5553,38.0585,72.5745,33.2944,-28.0459,8115.5108,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8156.0784,37.6621,37.5908,0.0713,2.3879,37.6390,2.5930,35.0460,65.3013,66.6531,7.2732,8156.0784,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8193.7405,69.3667,69.2606,0.1061,2.3693,69.1858,2.6492,66.5366,94.2923,33.4410,-28.9910,8193.7405,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8263.1072,23.4369,23.3716,0.0653,2.2001,23.5271,2.5816,20.9455,58.3666,16.6533,35.9257,8263.1072,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8286.5441,31.2327,31.1591,0.0736,2.2962,31.4613,2.5501,28.9112,51.5830,49.9731,6.7836,8286.5441,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8317.7768,40.0200,39.9471,0.0729,2.5326,39.9708,2.5310,37.4398,70.3234,33.3113,-18.7404,8317.7768,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8357.7968,37.8521,37.7943,0.0578,2.4896,37.7712,2.4963,35.2749,63.6147,16.7004,6.7087,8357.7968,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8395.6489,21.9000,21.8452,0.0548,2.4129,21.8449,2.4669,19.3780,42.4630,33.3714,21.1517,8395.6489,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,8417.5489,20.2052,20.1493,0.0559,2.3624,20.4929,2.8972,17.5957,53.9344,16.6608,-11.4714,8417.5489,NA,NA,NA
